#: table_doi: 10.17182/hepdata.137762.v1/t5
#: name: yields_highpt_SR_expected_ewk
#: description: Two-dimensional distribution of the invariant mass $m_{DV}$ and the track multiplicity in the High-pT jet SR for expected signal events in the strong gluino pair pair production model with m(gluino)=1.8 TeV, m(chi0)=0.2 TeV, tau(chi0)=0.1 ns
#: data_file: yields_highpt_sr_expected_ewk.yaml
#: keyword observables: N
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
"$n_{tracks, DV}$","$n_{tracks, DV}$ LOW","$n_{tracks, DV}$ HIGH",$m_{DV}$ [GeV],$m_{DV}$ [GeV] LOW,$m_{DV}$ [GeV] HIGH,Expected Signal Events
9.5,9.0,10.0,89.958,79.916,100.0,2.8277
10.5,10.0,11.0,3.5154,3.2088,3.822,0.012928
10.5,10.0,11.0,6.2016,5.5801,6.8231,0.021326
10.5,10.0,11.0,7.6096,6.8231,8.3961,0.02349
10.5,10.0,11.0,9.19805,8.3961,10.0,0.13034
10.5,10.0,11.0,11.453,10.0,12.906,0.13456
10.5,10.0,11.0,14.500499999999999,12.906,16.095,0.28985
10.5,10.0,11.0,18.112499999999997,16.095,20.13,0.67874
10.5,10.0,11.0,22.6835,20.13,25.237,1.0482
10.5,10.0,11.0,28.469,25.237,31.701,1.9025
10.5,10.0,11.0,35.791,31.701,39.881,2.7675
10.5,10.0,11.0,45.057,39.881,50.233,3.6341
10.5,10.0,11.0,56.783500000000004,50.233,63.334,4.5192
10.5,10.0,11.0,71.62450000000001,63.334,79.915,4.1781
10.5,10.0,11.0,89.958,79.916,100.0,3.3326
11.5,11.0,12.0,7.6096,6.8231,8.3961,0.010562
11.5,11.0,12.0,9.19805,8.3961,10.0,0.021326
11.5,11.0,12.0,11.453,10.0,12.906,0.16338
11.5,11.0,12.0,14.500499999999999,12.906,16.095,0.1004
11.5,11.0,12.0,18.112499999999997,16.095,20.13,0.22861
11.5,11.0,12.0,22.6835,20.13,25.237,0.60544
11.5,11.0,12.0,28.469,25.237,31.701,1.2562
11.5,11.0,12.0,35.791,31.701,39.881,2.3867
11.5,11.0,12.0,45.057,39.881,50.233,3.5248
11.5,11.0,12.0,56.783500000000004,50.233,63.334,4.3123
11.5,11.0,12.0,71.62450000000001,63.334,79.915,4.3487
11.5,11.0,12.0,89.958,79.916,100.0,3.5959
12.5,12.0,13.0,11.453,10.0,12.906,0.012928
12.5,12.0,13.0,14.500499999999999,12.906,16.095,0.046979
12.5,12.0,13.0,18.112499999999997,16.095,20.13,0.17066
12.5,12.0,13.0,22.6835,20.13,25.237,0.41851
12.5,12.0,13.0,28.469,25.237,31.701,0.8145
12.5,12.0,13.0,35.791,31.701,39.881,1.8791
12.5,12.0,13.0,45.057,39.881,50.233,2.7433
12.5,12.0,13.0,56.783500000000004,50.233,63.334,4.2825
12.5,12.0,13.0,71.62450000000001,63.334,79.915,4.6614
12.5,12.0,13.0,89.958,79.916,100.0,3.6258
13.5,13.0,14.0,7.6096,6.8231,8.3961,0.010562
13.5,13.0,14.0,9.19805,8.3961,10.0,0.021326
13.5,13.0,14.0,11.453,10.0,12.906,0.034051
13.5,13.0,14.0,14.500499999999999,12.906,16.095,0.042652
13.5,13.0,14.0,18.112499999999997,16.095,20.13,0.10879
13.5,13.0,14.0,22.6835,20.13,25.237,0.3546
13.5,13.0,14.0,28.469,25.237,31.701,0.7814
13.5,13.0,14.0,35.791,31.701,39.881,1.1382
13.5,13.0,14.0,45.057,39.881,50.233,2.3295
13.5,13.0,14.0,56.783500000000004,50.233,63.334,3.5189
13.5,13.0,14.0,71.62450000000001,63.334,79.915,4.5012
13.5,13.0,14.0,89.958,79.916,100.0,4.265
14.5,14.0,15.0,9.19805,8.3961,10.0,0.010562
14.5,14.0,15.0,14.500499999999999,12.906,16.095,0.01117
14.5,14.0,15.0,18.112499999999997,16.095,20.13,0.065939
14.5,14.0,15.0,22.6835,20.13,25.237,0.13424
14.5,14.0,15.0,28.469,25.237,31.701,0.35648
14.5,14.0,15.0,35.791,31.701,39.881,0.87685
14.5,14.0,15.0,45.057,39.881,50.233,1.4227
14.5,14.0,15.0,56.783500000000004,50.233,63.334,2.9643
14.5,14.0,15.0,71.62450000000001,63.334,79.915,4.1259
14.5,14.0,15.0,89.958,79.916,100.0,3.8222
15.5,15.0,16.0,14.500499999999999,12.906,16.095,0.010562
15.5,15.0,16.0,18.112499999999997,16.095,20.13,0.04893
15.5,15.0,16.0,22.6835,20.13,25.237,0.15577
15.5,15.0,16.0,28.469,25.237,31.701,0.20982
15.5,15.0,16.0,35.791,31.701,39.881,0.67089
15.5,15.0,16.0,45.057,39.881,50.233,1.382
15.5,15.0,16.0,56.783500000000004,50.233,63.334,2.7973
15.5,15.0,16.0,71.62450000000001,63.334,79.915,3.7589
15.5,15.0,16.0,89.958,79.916,100.0,3.7506
16.5,16.0,17.0,18.112499999999997,16.095,20.13,0.021123
