#: table_doi: 10.17182/hepdata.78697.v2/t16
#: name: Table 16
#: description: Two-dimensional distributions of $x$-$y$ positions of vertices observed in the data passing the vertex pre-selection and satisfying all signal region event-level requirements.
#: data_file: data46.yaml
#: data_license:   
#: keyword reactions: 
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'DV x [mm]','DV y [mm]','Entries'
106.0,-230.0,1.0
122.0,-230.0,1.0
126.0,-230.0,1.0
134.0,-230.0,1.0
138.0,-230.0,1.0
142.0,-230.0,1.0
146.0,-230.0,1.0
150.0,-230.0,2.0
-158.0,-226.0,1.0
-154.0,-226.0,3.0
-150.0,-226.0,4.0
-146.0,-226.0,3.0
-134.0,-226.0,1.0
-98.0,-226.0,1.0
-94.0,-226.0,2.0
-90.0,-226.0,1.0
-82.0,-226.0,1.0
-74.0,-226.0,2.0
-70.0,-226.0,2.0
-66.0,-226.0,2.0
-62.0,-226.0,1.0
-58.0,-226.0,1.0
-54.0,-226.0,3.0
-22.0,-226.0,1.0
-18.0,-226.0,2.0
-10.0,-226.0,2.0
-6.0,-226.0,1.0
-2.0,-226.0,1.0
2.0,-226.0,2.0
14.0,-226.0,1.0
26.0,-226.0,1.0
42.0,-226.0,1.0
50.0,-226.0,3.0
54.0,-226.0,1.0
58.0,-226.0,1.0
62.0,-226.0,1.0
66.0,-226.0,3.0
70.0,-226.0,1.0
78.0,-226.0,1.0
82.0,-226.0,2.0
86.0,-226.0,1.0
90.0,-226.0,2.0
94.0,-226.0,2.0
98.0,-226.0,1.0
102.0,-226.0,1.0
106.0,-226.0,1.0
110.0,-226.0,1.0
114.0,-226.0,2.0
138.0,-226.0,2.0
142.0,-226.0,1.0
146.0,-226.0,1.0
150.0,-226.0,2.0
154.0,-226.0,1.0
-162.0,-222.0,1.0
-158.0,-222.0,2.0
-154.0,-222.0,1.0
-142.0,-222.0,3.0
-138.0,-222.0,2.0
-122.0,-222.0,2.0
-118.0,-222.0,1.0
-114.0,-222.0,3.0
-110.0,-222.0,2.0
-106.0,-222.0,3.0
-102.0,-222.0,2.0
-94.0,-222.0,1.0
-90.0,-222.0,3.0
-86.0,-222.0,2.0
-82.0,-222.0,1.0
-74.0,-222.0,1.0
-70.0,-222.0,1.0
-50.0,-222.0,1.0
-46.0,-222.0,1.0
-38.0,-222.0,1.0
-30.0,-222.0,2.0
-26.0,-222.0,4.0
-22.0,-222.0,1.0
-18.0,-222.0,4.0
-10.0,-222.0,2.0
-6.0,-222.0,3.0
-2.0,-222.0,1.0
2.0,-222.0,1.0
6.0,-222.0,2.0
10.0,-222.0,4.0
14.0,-222.0,1.0
18.0,-222.0,3.0
22.0,-222.0,1.0
26.0,-222.0,1.0
30.0,-222.0,3.0
34.0,-222.0,1.0
70.0,-222.0,2.0
78.0,-222.0,1.0
82.0,-222.0,2.0
94.0,-222.0,2.0
98.0,-222.0,2.0
102.0,-222.0,3.0
106.0,-222.0,2.0
110.0,-222.0,1.0
114.0,-222.0,2.0
118.0,-222.0,2.0
126.0,-222.0,1.0
146.0,-222.0,3.0
150.0,-222.0,2.0
162.0,-222.0,2.0
166.0,-222.0,1.0
-154.0,-218.0,3.0
-150.0,-218.0,2.0
-146.0,-218.0,1.0
-130.0,-218.0,1.0
-126.0,-218.0,1.0
-122.0,-218.0,1.0
-118.0,-218.0,3.0
