#: table_doi: 10.17182/hepdata.137762.v1/t7
#: name: yields_trackless_SR_expected_ewk
#: description: Two-dimensional distribution of the invariant mass $m_{DV}$ and the track multiplicity in the Trackless jet SR for expected signal events in the electroweak pair production model
#: data_file: yields_trackless_sr_expected_ewk.yaml
#: keyword observables: N
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
"$n_{tracks, DV}$","$n_{tracks, DV}$ LOW","$n_{tracks, DV}$ HIGH",$m_{DV}$ [GeV],$m_{DV}$ [GeV] LOW,$m_{DV}$ [GeV] HIGH,Expected Signal Events
14.5,14.0,15.0,28.469,25.237,31.701,0.13715
14.5,14.0,15.0,35.791,31.701,39.881,0.231
14.5,14.0,15.0,45.057,39.881,50.233,0.62066
14.5,14.0,15.0,56.783500000000004,50.233,63.334,0.80862
14.5,14.0,15.0,71.62450000000001,63.334,79.915,1.5723
14.5,14.0,15.0,89.958,79.916,100.0,2.3051
15.5,15.0,16.0,18.112499999999997,16.095,20.13,0.07368
15.5,15.0,16.0,22.6835,20.13,25.237,0.041948
15.5,15.0,16.0,28.469,25.237,31.701,0.12975
15.5,15.0,16.0,35.791,31.701,39.881,0.12558
15.5,15.0,16.0,45.057,39.881,50.233,0.3102
15.5,15.0,16.0,56.783500000000004,50.233,63.334,0.64136
15.5,15.0,16.0,71.62450000000001,63.334,79.915,1.4387
15.5,15.0,16.0,89.958,79.916,100.0,2.5495
16.5,16.0,17.0,9.19805,8.3961,10.0,0.041948
16.5,16.0,17.0,22.6835,20.13,25.237,0.031733
16.5,16.0,17.0,28.469,25.237,31.701,0.08538
16.5,16.0,17.0,35.791,31.701,39.881,0.12195
16.5,16.0,17.0,45.057,39.881,50.233,0.23652
16.5,16.0,17.0,56.783500000000004,50.233,63.334,0.66678
16.5,16.0,17.0,71.62450000000001,63.334,79.915,0.93971
16.5,16.0,17.0,89.958,79.916,100.0,2.1115
17.5,17.0,18.0,14.500499999999999,12.906,16.095,0.041948
17.5,17.0,18.0,28.469,25.237,31.701,0.041948
17.5,17.0,18.0,35.791,31.701,39.881,0.23256
17.5,17.0,18.0,45.057,39.881,50.233,0.27847
17.5,17.0,18.0,56.783500000000004,50.233,63.334,0.2829
17.5,17.0,18.0,71.62450000000001,63.334,79.915,0.58045
17.5,17.0,18.0,89.958,79.916,100.0,1.4544
18.5,18.0,19.0,14.500499999999999,12.906,16.095,0.025952
18.5,18.0,19.0,18.112499999999997,16.095,20.13,0.031733
18.5,18.0,19.0,28.469,25.237,31.701,0.025952
