#: table_doi: 10.17182/hepdata.78697.v2/t5
#: name: Table 5
#: description: Two-dimensional distribution of $m_{\mathrm{DV}}$ and track multiplicity for DVs in data events and events of a $R$-hadron signal sample with $m_{\tilde{g}} = 1.4$ TeV, $m_{\tilde{\chi}_{1}^{0}} = 100$ GeV and $\tau_{\tilde{g}} = 1$ ns that satisfy all signal region event selection criteria.
#: data_file: data11.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'Number of DV tracks','DV mass [GeV]','Number of observed vertices'
5.0,5.57167,1.19866
5.0,6.49647,2.0285
5.0,7.66072,1.65968
5.0,9.12643,2.39732
5.0,10.9716,1.84409
5.0,13.2946,1.84409
5.0,16.2191,1.84409
5.0,19.9008,1.65968
5.0,24.5357,0.922044
5.0,30.3708,0.82984
5.0,37.7167,0.461022
5.0,46.9647,0.0922044
5.0,58.6072,0.0922044
5.0,73.2643,0.0922044
5.0,90.7164,0.184409
6.0,3.79008,0.184409
6.0,4.25357,0.184409
6.0,4.83708,0.276613
6.0,5.57167,0.645431
6.0,6.49647,1.10645
6.0,7.66072,1.38307
6.0,9.12643,1.01425
6.0,10.9716,1.56748
6.0,13.2946,1.93629
6.0,16.2191,1.93629
6.0,19.9008,2.58172
6.0,24.5357,1.01425
6.0,30.3708,1.29086
6.0,37.7167,1.38307
6.0,46.9647,0.645431
6.0,58.6072,0.737636
6.0,73.2643,0.184409
7.0,3.42191,0.0922044
7.0,3.79008,0.0922044
7.0,4.25357,0.0922044
7.0,4.83708,0.184409
7.0,5.57167,0.645431
7.0,6.49647,0.737636
7.0,7.66072,0.553227
7.0,9.12643,0.645431
7.0,10.9716,1.47527
7.0,13.2946,1.56748
7.0,16.2191,1.38307
7.0,19.9008,1.84409
7.0,24.5357,1.84409
7.0,30.3708,1.65968
7.0,37.7167,1.10645
7.0,46.9647,1.19866
7.0,58.6072,0.461022
7.0,73.2643,0.276613
7.0,90.7164,0.276613
8.0,4.25357,0.0922044
8.0,4.83708,0.0922044
8.0,5.57167,0.184409
8.0,6.49647,0.0922044
8.0,7.66072,0.276613
8.0,9.12643,0.553227
8.0,10.9716,0.645431
8.0,13.2946,1.38307
8.0,16.2191,1.65968
8.0,19.9008,1.47527
8.0,24.5357,2.39732
8.0,30.3708,2.76613
8.0,37.7167,1.19866
8.0,46.9647,1.56748
8.0,58.6072,0.645431
8.0,73.2643,0.553227
8.0,90.7164,0.368818
9.0,4.25357,0.0922044
9.0,4.83708,0.0922044
9.0,6.49647,0.184409
9.0,7.66072,0.0922044
9.0,9.12643,0.553227
9.0,10.9716,0.922044
9.0,13.2946,0.922044
9.0,16.2191,1.01425
9.0,19.9008,1.38307
9.0,24.5357,1.38307
9.0,30.3708,1.56748
9.0,37.7167,1.47527
9.0,46.9647,1.29086
9.0,58.6072,0.737636
9.0,73.2643,0.737636
9.0,90.7164,0.645431
10.0,4.83708,0.0922044
10.0,7.66072,0.0922044
10.0,9.12643,0.0922044
10.0,10.9716,0.0922044
10.0,13.2946,0.737636
10.0,16.2191,0.737636
10.0,19.9008,1.29086
10.0,24.5357,1.47527
10.0,30.3708,2.21291
10.0,37.7167,1.75188
10.0,46.9647,1.75188
10.0,58.6072,0.922044
10.0,73.2643,1.19866
10.0,90.7164,0.553227
11.0,7.66072,0.0922044
11.0,9.12643,0.184409
11.0,16.2191,0.737636
11.0,19.9008,0.461022
11.0,24.5357,1.10645
11.0,30.3708,1.29086
11.0,37.7167,1.65968
11.0,46.9647,0.82984
11.0,58.6072,1.38307
11.0,73.2643,0.553227
11.0,90.7164,0.922044
12.0,10.9716,0.0922044
12.0,13.2946,0.461022
12.0,16.2191,0.368818
12.0,19.9008,0.737636
12.0,24.5357,0.737636
12.0,30.3708,0.82984
12.0,37.7167,0.645431
12.0,46.9647,1.75188
12.0,58.6072,1.47527
12.0,73.2643,1.29086
12.0,90.7164,0.368818
13.0,16.2191,0.184409
13.0,19.9008,0.0922044
13.0,24.5357,0.737636
13.0,30.3708,1.01425
13.0,37.7167,1.01425
13.0,46.9647,1.10645
13.0,58.6072,1.38307
13.0,73.2643,1.29086
13.0,90.7164,1.01425
14.0,16.2191,0.184409
14.0,19.9008,0.0922044
14.0,24.5357,0.553227
14.0,30.3708,0.461022
14.0,37.7167,1.19866
14.0,46.9647,1.38307
14.0,58.6072,1.19866
14.0,73.2643,0.82984
14.0,90.7164,0.922044
15.0,16.2191,0.0922044
15.0,19.9008,0.0922044
15.0,24.5357,0.368818
15.0,30.3708,0.553227
15.0,37.7167,0.922044
15.0,46.9647,1.38307
15.0,58.6072,0.922044
15.0,73.2643,0.82984
15.0,90.7164,1.01425
16.0,19.9008,0.0922044
16.0,24.5357,0.276613
16.0,30.3708,0.184409
16.0,37.7167,0.276613
16.0,46.9647,0.553227
16.0,58.6072,1.01425
16.0,73.2643,1.10645
16.0,90.7164,0.922044
17.0,16.2191,0.0922044
17.0,24.5357,0.0922044
17.0,30.3708,0.0922044
17.0,37.7167,0.368818
17.0,46.9647,0.645431
17.0,58.6072,0.922044
17.0,73.2643,0.82984
17.0,90.7164,0.737636
18.0,24.5357,0.0922044
18.0,30.3708,0.0922044
18.0,46.9647,0.276613
18.0,58.6072,0.276613
18.0,73.2643,1.01425
18.0,90.7164,0.737636
19.0,30.3708,0.368818
19.0,37.7167,0.276613
19.0,46.9647,0.184409
19.0,58.6072,0.645431
19.0,73.2643,0.737636
19.0,90.7164,0.645431
20.0,30.3708,0.0922044
