# mN2_GeV, mN1_GeV,   tau_ns,    Eff,       EffErr
1.0500e+03,1.0400e+03,3.8000e-02,3.9840e-01,2.2000e-03
1.0500e+03,1.0500e+03,7.0000e-02,4.7610e-01,2.3890e-03
2.5000e+02,2.4000e+02,1.3000e-01,1.2660e-03,1.0690e-04
1.0500e+03,1.0400e+03,7.0000e-02,4.7390e-01,2.3830e-03
1.0500e+03,1.0500e+03,1.3000e-01,4.9420e-01,2.3960e-03
1.0500e+03,1.0400e+03,1.3000e-01,4.9120e-01,2.3890e-03
1.0500e+03,1.0500e+03,2.3000e-01,4.6840e-01,2.2760e-03
1.0500e+03,1.0400e+03,2.3000e-01,4.6550e-01,2.2700e-03
1.0500e+03,1.0500e+03,4.3000e-01,4.0870e-01,2.0510e-03
1.0500e+03,1.0400e+03,4.3000e-01,4.0600e-01,2.0460e-03
1.0500e+03,1.0500e+03,7.8000e-01,3.2930e-01,1.7730e-03
1.0500e+03,1.0400e+03,7.8000e-01,3.2640e-01,1.7630e-03
1.0500e+03,1.0500e+03,1.4000e+00,2.4400e-01,1.4700e-03
1.0500e+03,1.0400e+03,1.4000e+00,2.4120e-01,1.4580e-03
1.0500e+03,1.0500e+03,2.6000e+00,1.6090e-01,1.1490e-03
1.0500e+03,1.0400e+03,2.6000e+00,1.5950e-01,1.1420e-03
1.0500e+03,1.0500e+03,4.8000e+00,9.8710e-02,8.7020e-04
1.0500e+03,1.0400e+03,4.8000e+00,9.6550e-02,8.5870e-04
2.5000e+02,2.5000e+02,2.3000e-01,1.1250e-03,9.4860e-05
1.0500e+03,1.0500e+03,8.9000e+00,5.6300e-02,6.3570e-04
1.0500e+03,1.0400e+03,8.9000e+00,5.4490e-02,6.2350e-04
1.0500e+03,1.0500e+03,1.6000e+01,3.1450e-02,4.6310e-04
1.0500e+03,1.0400e+03,1.6000e+01,3.1400e-02,4.6450e-04
1.0500e+03,1.0500e+03,3.0000e+01,1.6880e-02,3.3280e-04
2.5000e+02,2.4000e+02,2.3000e-01,9.7250e-04,8.8300e-05
1.0500e+03,1.0400e+03,3.0000e+01,1.7010e-02,3.3730e-04
1.0500e+03,1.0500e+03,5.5000e+01,9.2270e-03,2.4060e-04
1.0500e+03,1.0400e+03,5.5000e+01,9.2640e-03,2.4600e-04
1.0500e+03,1.0500e+03,1.0000e+02,5.1160e-03,1.7940e-04
1.0500e+03,1.0400e+03,1.0000e+02,5.3750e-03,1.8570e-04
1.2500e+03,1.2500e+03,1.0000e-03,0.0000e+00,0.0000e+00
1.2500e+03,1.2400e+03,1.0000e-03,0.0000e+00,0.0000e+00
1.2500e+03,1.2500e+03,1.8000e-03,2.8600e-04,5.9640e-05
1.2500e+03,1.2400e+03,1.8000e-03,2.7340e-04,5.8290e-05
1.2500e+03,1.2500e+03,3.4000e-03,5.7790e-03,2.6750e-04
1.2500e+03,1.2400e+03,3.4000e-03,6.3100e-03,2.7950e-04
1.2500e+03,1.2500e+03,6.2000e-03,4.2040e-02,7.2060e-04
1.2500e+03,1.2400e+03,6.2000e-03,4.1660e-02,7.1720e-04
1.2500e+03,1.2500e+03,1.1000e-02,1.3730e-01,1.3020e-03
1.2500e+03,1.2400e+03,1.1000e-02,1.3840e-01,1.3060e-03
2.5000e+02,2.5000e+02,4.3000e-01,6.9120e-04,6.6900e-05
1.2500e+03,1.2500e+03,2.1000e-02,3.1310e-01,1.9660e-03
1.2500e+03,1.2400e+03,2.1000e-02,3.1320e-01,1.9650e-03
1.2500e+03,1.2500e+03,3.8000e-02,4.7010e-01,2.4050e-03
1.2500e+03,1.2400e+03,3.8000e-02,4.7100e-01,2.4070e-03
1.2500e+03,1.2500e+03,7.0000e-02,5.7510e-01,2.6430e-03
2.5000e+02,2.4000e+02,4.3000e-01,6.3530e-04,6.8460e-05
1.2500e+03,1.2400e+03,7.0000e-02,5.7220e-01,2.6360e-03
1.2500e+03,1.2500e+03,1.3000e-01,6.0680e-01,2.6760e-03
1.2500e+03,1.2400e+03,1.3000e-01,6.0320e-01,2.6670e-03
1.2500e+03,1.2500e+03,2.3000e-01,5.8300e-01,2.5650e-03
1.2500e+03,1.2400e+03,2.3000e-01,5.7990e-01,2.5560e-03
1.2500e+03,1.2500e+03,4.3000e-01,5.1370e-01,2.3260e-03
1.2500e+03,1.2400e+03,4.3000e-01,5.1340e-01,2.3250e-03
1.2500e+03,1.2500e+03,7.8000e-01,4.2120e-01,2.0250e-03
1.2500e+03,1.2400e+03,7.8000e-01,4.1920e-01,2.0200e-03
1.2500e+03,1.2500e+03,1.4000e+00,3.1520e-01,1.6820e-03
1.2500e+03,1.2400e+03,1.4000e+00,3.1380e-01,1.6780e-03
1.2500e+03,1.2500e+03,2.6000e+00,2.1180e-01,1.3260e-03
1.2500e+03,1.2400e+03,2.6000e+00,2.1110e-01,1.3240e-03
1.2500e+03,1.2500e+03,4.8000e+00,1.2990e-01,1.0020e-03
1.2500e+03,1.2400e+03,4.8000e+00,1.3030e-01,1.0030e-03
2.5000e+02,2.5000e+02,7.8000e-01,4.3590e-04,5.3160e-05
1.2500e+03,1.2500e+03,8.9000e+00,7.5240e-02,7.4090e-04
1.2500e+03,1.2400e+03,8.9000e+00,7.4820e-02,7.3610e-04
1.2500e+03,1.2500e+03,1.6000e+01,4.2970e-02,5.4770e-04
1.2500e+03,1.2400e+03,1.6000e+01,4.3310e-02,5.4820e-04
1.2500e+03,1.2500e+03,3.0000e+01,2.3400e-02,3.9660e-04
2.5000e+02,2.4000e+02,7.8000e-01,3.8360e-04,5.0260e-05
1.2500e+03,1.2400e+03,3.0000e+01,2.2740e-02,3.8820e-04
1.2500e+03,1.2500e+03,5.5000e+01,1.2880e-02,2.9150e-04
1.2500e+03,1.2400e+03,5.5000e+01,1.3030e-02,2.9380e-04
1.2500e+03,1.2500e+03,1.0000e+02,7.4090e-03,2.2220e-04
1.2500e+03,1.2400e+03,1.0000e+02,7.4340e-03,2.2260e-04
1.4500e+03,1.4500e+03,1.0000e-03,0.0000e+00,0.0000e+00
1.4500e+03,1.4400e+03,1.0000e-03,0.0000e+00,0.0000e+00
1.4500e+03,1.4500e+03,1.8000e-03,2.0060e-04,5.0140e-05
1.4500e+03,1.4400e+03,1.8000e-03,1.1160e-04,3.7200e-05
1.4500e+03,1.4500e+03,3.4000e-03,5.0340e-03,2.5020e-04
1.4500e+03,1.4400e+03,3.4000e-03,5.0270e-03,2.4980e-04
1.4500e+03,1.4500e+03,6.2000e-03,3.7290e-02,6.8060e-04
1.4500e+03,1.4400e+03,6.2000e-03,3.7740e-02,6.8440e-04
1.4500e+03,1.4500e+03,1.1000e-02,1.3540e-01,1.2970e-03
1.4500e+03,1.4400e+03,1.1000e-02,1.3480e-01,1.2940e-03
2.5000e+02,2.5000e+02,1.4000e+00,2.4640e-04,3.8700e-05
1.4500e+03,1.4500e+03,2.1000e-02,3.2480e-01,2.0110e-03
1.4500e+03,1.4400e+03,2.1000e-02,3.2200e-01,2.0020e-03
1.4500e+03,1.4500e+03,3.8000e-02,5.0290e-01,2.5000e-03
1.4500e+03,1.4400e+03,3.8000e-02,5.0050e-01,2.4940e-03
1.4500e+03,1.4500e+03,7.0000e-02,6.2680e-01,2.7760e-03
2.5000e+02,2.4000e+02,1.4000e+00,2.0060e-04,3.3640e-05
1.4500e+03,1.4400e+03,7.0000e-02,6.2470e-01,2.7700e-03
1.4500e+03,1.4500e+03,1.3000e-01,6.6770e-01,2.8260e-03
1.4500e+03,1.4400e+03,1.3000e-01,6.6780e-01,2.8260e-03
1.4500e+03,1.4500e+03,2.3000e-01,6.4850e-01,2.7270e-03
1.4500e+03,1.4400e+03,2.3000e-01,6.4790e-01,2.7250e-03
1.4500e+03,1.4500e+03,4.3000e-01,5.7860e-01,2.4900e-03
1.4500e+03,1.4400e+03,4.3000e-01,5.7760e-01,2.4880e-03
1.4500e+03,1.4500e+03,7.8000e-01,4.7820e-01,2.1760e-03
1.4500e+03,1.4400e+03,7.8000e-01,4.7740e-01,2.1770e-03
1.4500e+03,1.4500e+03,1.4000e+00,3.6400e-01,1.8260e-03
1.4500e+03,1.4400e+03,1.4000e+00,3.6350e-01,1.8250e-03
1.4500e+03,1.4500e+03,2.6000e+00,2.4810e-01,1.4500e-03
1.4500e+03,1.4400e+03,2.6000e+00,2.4730e-01,1.4440e-03
1.4500e+03,1.4500e+03,4.8000e+00,1.5500e-01,1.1060e-03
1.4500e+03,1.4400e+03,4.8000e+00,1.5400e-01,1.0980e-03
2.5000e+02,2.5000e+02,2.6000e+00,1.1020e-04,2.3970e-05
1.4500e+03,1.4500e+03,8.9000e+00,8.9920e-02,8.1690e-04
1.4500e+03,1.4400e+03,8.9000e+00,9.0340e-02,8.1820e-04
