#Efficiencies for the High PT SR obtained with recasting for the Strong model:
# (pp > Gluino Gluino, Gluino > q,q,N1).
  mN1_GeV, mGluino_GeV, width_GeV, tau_ns,     Eff,       EffErr
2.6500e+03,2.7000e+03,1.4185e-14,4.6400e-02,2.8100e-01,3.2620e-03
2.6500e+03,2.7000e+03,5.7737e-15,1.1400e-01,4.1990e-01,3.9710e-03
2.6500e+03,2.7000e+03,2.3676e-15,2.7800e-01,4.4250e-01,3.9880e-03
2.6500e+03,2.7000e+03,9.6652e-16,6.8100e-01,3.9060e-01,3.5850e-03
2.6500e+03,2.7000e+03,3.9413e-16,1.6700e+00,2.8410e-01,2.8720e-03
2.6500e+03,2.7000e+03,1.6132e-16,4.0800e+00,1.6970e-01,2.0930e-03
5.0000e+01,2.7000e+03,9.6652e-16,6.8100e-01,1.3400e-02,3.9130e-04
2.6500e+03,2.7000e+03,6.5820e-17,1.0000e+01,8.5110e-02,1.4120e-03
2.6500e+03,2.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.6500e+03,2.9000e+03,8.5039e-14,7.7400e-03,4.2040e-03,3.9730e-04
2.6500e+03,2.9000e+03,3.4642e-14,1.9000e-02,5.6800e-02,1.4630e-03
2.6500e+03,2.9000e+03,1.4185e-14,4.6400e-02,1.8850e-01,2.6720e-03
2.6500e+03,2.9000e+03,5.7737e-15,1.1400e-01,2.9800e-01,3.3490e-03
2.6500e+03,2.9000e+03,2.3676e-15,2.7800e-01,3.2130e-01,3.4080e-03
2.6500e+03,2.9000e+03,9.6652e-16,6.8100e-01,2.8330e-01,3.0640e-03
2.6500e+03,2.9000e+03,3.9413e-16,1.6700e+00,2.0940e-01,2.4780e-03
2.6500e+03,2.9000e+03,1.6132e-16,4.0800e+00,1.2760e-01,1.8300e-03
5.0000e+01,2.7000e+03,3.9413e-16,1.6700e+00,5.6040e-03,2.4970e-04
2.6500e+03,2.9000e+03,6.5820e-17,1.0000e+01,6.5110e-02,1.2530e-03
2.8500e+03,2.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.8500e+03,2.9000e+03,8.5039e-14,7.7400e-03,4.2780e-03,4.0070e-04
2.8500e+03,2.9000e+03,3.4642e-14,1.9000e-02,5.6310e-02,1.4560e-03
2.8500e+03,2.9000e+03,1.4185e-14,4.6400e-02,1.8590e-01,2.6540e-03
2.8500e+03,2.9000e+03,5.7737e-15,1.1400e-01,2.9240e-01,3.3180e-03
2.8500e+03,2.9000e+03,2.3676e-15,2.7800e-01,3.1620e-01,3.3820e-03
2.8500e+03,2.9000e+03,9.6652e-16,6.8100e-01,2.7910e-01,3.0370e-03
2.8500e+03,2.9000e+03,3.9413e-16,1.6700e+00,2.0800e-01,2.4720e-03
2.8500e+03,2.9000e+03,1.6132e-16,4.0800e+00,1.2760e-01,1.8310e-03
5.0000e+01,2.7000e+03,1.6132e-16,4.0800e+00,2.4110e-03,1.5920e-04
5.0000e+01,5.0000e+02,6.5820e-17,1.0000e+01,2.0040e-04,3.9250e-05
2.8500e+03,2.9000e+03,6.5820e-17,1.0000e+01,6.5330e-02,1.2550e-03
5.0000e+01,2.7000e+03,6.5820e-17,1.0000e+01,9.4660e-04,9.9230e-05
5.0000e+01,2.9000e+03,2.0829e-13,3.1600e-03,1.5050e-01,1.7900e-03
5.0000e+01,2.9000e+03,8.5039e-14,7.7400e-03,1.5210e-01,1.7580e-03
5.0000e+01,2.9000e+03,3.4642e-14,1.9000e-02,1.2520e-01,1.5050e-03
5.0000e+01,2.9000e+03,1.4185e-14,4.6400e-02,8.1190e-02,1.1210e-03
5.0000e+01,2.9000e+03,5.7737e-15,1.1400e-01,4.4020e-02,7.7110e-04
5.0000e+01,2.9000e+03,2.3676e-15,2.7800e-01,2.0810e-02,5.0210e-04
5.0000e+01,2.9000e+03,9.6652e-16,6.8100e-01,9.5490e-03,3.3430e-04
5.0000e+01,2.9000e+03,3.9413e-16,1.6700e+00,4.2920e-03,2.2010e-04
