#Efficiencies for the Trackless SR obtained with recasting for the EWK model:
# (pp > N1N2) using a higgsino scenario.
  mN2_GeV,   mN1_GeV, width_GeV, tau_ns,     Eff,       EffErr
1.0500e+03,1.0400e+03,1.3713e-16,4.8000e+00,5.7130e-02,4.8260e-04
2.5000e+02,2.5000e+02,2.8617e-15,2.3000e-01,2.2480e-02,4.3810e-04
1.0500e+03,1.0500e+03,7.3955e-17,8.9000e+00,3.2970e-02,3.5160e-04
1.0500e+03,1.0400e+03,7.3955e-17,8.9000e+00,3.3080e-02,3.5450e-04
1.0500e+03,1.0500e+03,4.1138e-17,1.6000e+01,1.8370e-02,2.5550e-04
1.0500e+03,1.0400e+03,4.1138e-17,1.6000e+01,1.8630e-02,2.5740e-04
1.0500e+03,1.0500e+03,2.1940e-17,3.0000e+01,9.3460e-03,1.7300e-04
2.5000e+02,2.4000e+02,2.8617e-15,2.3000e-01,2.0640e-02,4.1700e-04
1.0500e+03,1.0400e+03,2.1940e-17,3.0000e+01,9.3690e-03,1.7310e-04
1.0500e+03,1.0500e+03,1.1967e-17,5.5000e+01,4.8030e-03,1.1700e-04
1.0500e+03,1.0400e+03,1.1967e-17,5.5000e+01,4.7750e-03,1.1660e-04
1.0500e+03,1.0500e+03,6.5820e-18,1.0000e+02,2.4650e-03,8.0250e-05
1.0500e+03,1.0400e+03,6.5820e-18,1.0000e+02,2.4940e-03,7.9460e-05
1.2500e+03,1.2500e+03,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
1.2500e+03,1.2400e+03,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
1.2500e+03,1.2500e+03,3.6567e-13,1.8000e-03,0.0000e+00,0.0000e+00
1.2500e+03,1.2400e+03,3.6567e-13,1.8000e-03,2.8290e-06,2.8290e-06
1.2500e+03,1.2500e+03,1.9359e-13,3.4000e-03,1.0710e-04,1.6130e-05
1.2500e+03,1.2400e+03,1.9359e-13,3.4000e-03,1.2000e-04,2.0270e-05
1.2500e+03,1.2500e+03,1.0616e-13,6.2000e-03,1.8720e-03,7.6160e-05
1.2500e+03,1.2400e+03,1.0616e-13,6.2000e-03,1.9770e-03,7.9760e-05
1.2500e+03,1.2500e+03,5.9836e-14,1.1000e-02,1.1560e-02,2.0010e-04
1.2500e+03,1.2400e+03,5.9836e-14,1.1000e-02,1.2220e-02,2.0590e-04
2.5000e+02,2.5000e+02,1.5307e-15,4.3000e-01,1.6290e-02,3.5420e-04
1.2500e+03,1.2500e+03,3.1343e-14,2.1000e-02,4.0840e-02,3.9350e-04
1.2500e+03,1.2400e+03,3.1343e-14,2.1000e-02,4.2130e-02,4.0120e-04
1.2500e+03,1.2500e+03,1.7321e-14,3.8000e-02,7.8800e-02,5.6530e-04
1.2500e+03,1.2400e+03,1.7321e-14,3.8000e-02,8.0630e-02,5.7300e-04
1.2500e+03,1.2500e+03,9.4029e-15,7.0000e-02,1.1200e-01,6.8660e-04
2.5000e+02,2.4000e+02,1.5307e-15,4.3000e-01,1.4630e-02,3.3350e-04
1.2500e+03,1.2400e+03,9.4029e-15,7.0000e-02,1.1390e-01,6.9590e-04
1.2500e+03,1.2500e+03,5.0631e-15,1.3000e-01,1.2910e-01,7.4230e-04
1.2500e+03,1.2400e+03,5.0631e-15,1.3000e-01,1.3090e-01,7.5160e-04
1.2500e+03,1.2500e+03,2.8617e-15,2.3000e-01,1.2990e-01,7.3900e-04
1.2500e+03,1.2400e+03,2.8617e-15,2.3000e-01,1.3230e-01,7.5070e-04
1.2500e+03,1.2500e+03,1.5307e-15,4.3000e-01,1.1980e-01,6.9680e-04
1.2500e+03,1.2400e+03,1.5307e-15,4.3000e-01,1.2200e-01,7.0540e-04
