#Efficiencies for the Trackless SR obtained with recasting for the Strong model:
# (pp > Gluino Gluino, Gluino > q,q,N1).
  mN1_GeV, mGluino_GeV, width_GeV, tau_ns,     Eff,       EffErr
5.0000e+01,7.5000e+02,5.7737e-15,1.1400e-01,9.7120e-02,9.6240e-04
2.5000e+02,1.2500e+03,6.5820e-17,1.0000e+01,4.6750e-03,1.7160e-04
2.5000e+02,1.5000e+03,2.0829e-13,3.1600e-03,5.7910e-03,2.1750e-04
2.5000e+02,1.5000e+03,8.5039e-14,7.7400e-03,1.9500e-02,4.1770e-04
2.5000e+02,1.5000e+03,3.4642e-14,1.9000e-02,3.1220e-02,5.4130e-04
2.5000e+02,1.5000e+03,1.4185e-14,4.6400e-02,3.5090e-02,5.7200e-04
2.5000e+02,1.5000e+03,5.7737e-15,1.1400e-01,3.1520e-02,5.2900e-04
2.5000e+02,1.5000e+03,2.3676e-15,2.7800e-01,2.3790e-02,4.4090e-04
2.5000e+02,1.5000e+03,9.6652e-16,6.8100e-01,1.4590e-02,3.2280e-04
2.5000e+02,1.5000e+03,3.9413e-16,1.6700e+00,8.0440e-03,2.3080e-04
2.5000e+02,1.5000e+03,1.6132e-16,4.0800e+00,4.0770e-03,1.6400e-04
5.0000e+01,7.5000e+02,2.3676e-15,2.7800e-01,5.2150e-02,6.4960e-04
2.5000e+02,1.5000e+03,6.5820e-17,1.0000e+01,1.6860e-03,9.9790e-05
2.5000e+02,1.7000e+03,2.0829e-13,3.1600e-03,1.9740e-03,1.1980e-04
2.5000e+02,1.7000e+03,8.5039e-14,7.7400e-03,7.3430e-03,2.4610e-04
2.5000e+02,1.7000e+03,3.4642e-14,1.9000e-02,1.2310e-02,3.2680e-04
2.5000e+02,1.7000e+03,1.4185e-14,4.6400e-02,1.3400e-02,3.3780e-04
2.5000e+02,1.7000e+03,5.7737e-15,1.1400e-01,1.1970e-02,3.1170e-04
2.5000e+02,1.7000e+03,2.3676e-15,2.7800e-01,9.0570e-03,2.5700e-04
2.5000e+02,1.7000e+03,9.6652e-16,6.8100e-01,5.4210e-03,1.8710e-04
2.5000e+02,1.7000e+03,3.9413e-16,1.6700e+00,2.9180e-03,1.3330e-04
2.5000e+02,1.7000e+03,1.6132e-16,4.0800e+00,1.5110e-03,9.3390e-05
5.0000e+01,7.5000e+02,9.6652e-16,6.8100e-01,2.2010e-02,3.9200e-04
2.5000e+02,1.7000e+03,6.5820e-17,1.0000e+01,7.2260e-04,6.3380e-05
2.5000e+02,1.9000e+03,2.0829e-13,3.1600e-03,7.8960e-04,7.6810e-05
2.5000e+02,1.9000e+03,8.5039e-14,7.7400e-03,3.1190e-03,1.5920e-04
2.5000e+02,1.9000e+03,3.4642e-14,1.9000e-02,5.3880e-03,2.1740e-04
2.5000e+02,1.9000e+03,1.4185e-14,4.6400e-02,5.9730e-03,2.2490e-04
2.5000e+02,1.9000e+03,5.7737e-15,1.1400e-01,5.5110e-03,2.1300e-04
2.5000e+02,1.9000e+03,2.3676e-15,2.7800e-01,4.0280e-03,1.7080e-04
2.5000e+02,1.9000e+03,9.6652e-16,6.8100e-01,2.3590e-03,1.1960e-04
2.5000e+02,1.9000e+03,3.9413e-16,1.6700e+00,1.4200e-03,9.5760e-05
2.5000e+02,1.9000e+03,1.6132e-16,4.0800e+00,6.7540e-04,6.5270e-05
5.0000e+01,7.5000e+02,3.9413e-16,1.6700e+00,7.9130e-03,2.1990e-04
2.5000e+02,1.9000e+03,6.5820e-17,1.0000e+01,2.8220e-04,3.9260e-05
2.5000e+02,2.1000e+03,2.0829e-13,3.1600e-03,3.7600e-04,5.2800e-05
2.5000e+02,2.1000e+03,8.5039e-14,7.7400e-03,1.3290e-03,1.0580e-04
2.5000e+02,2.1000e+03,3.4642e-14,1.9000e-02,2.3790e-03,1.5120e-04
2.5000e+02,2.1000e+03,1.4185e-14,4.6400e-02,2.4890e-03,1.4950e-04
2.5000e+02,2.1000e+03,5.7737e-15,1.1400e-01,2.0970e-03,1.2800e-04
2.5000e+02,2.1000e+03,2.3676e-15,2.7800e-01,1.7050e-03,1.1840e-04
2.5000e+02,2.1000e+03,9.6652e-16,6.8100e-01,9.6820e-04,8.1770e-05
2.5000e+02,2.1000e+03,3.9413e-16,1.6700e+00,4.9350e-04,5.3960e-05
2.5000e+02,2.1000e+03,1.6132e-16,4.0800e+00,2.3320e-04,3.6280e-05
5.0000e+01,7.5000e+02,1.6132e-16,4.0800e+00,2.4730e-03,1.0820e-04
2.5000e+02,2.1000e+03,6.5820e-17,1.0000e+01,1.1830e-04,2.9440e-05
2.5000e+02,2.3000e+03,2.0829e-13,3.1600e-03,1.8970e-04,3.7080e-05
2.5000e+02,2.3000e+03,8.5039e-14,7.7400e-03,6.8750e-04,7.2540e-05
2.5000e+02,2.3000e+03,3.4642e-14,1.9000e-02,1.1640e-03,1.0030e-04
2.5000e+02,2.3000e+03,1.4185e-14,4.6400e-02,1.2750e-03,1.0630e-04
2.5000e+02,2.3000e+03,5.7737e-15,1.1400e-01,1.0570e-03,9.1220e-05
2.5000e+02,2.3000e+03,2.3676e-15,2.7800e-01,7.8970e-04,7.5960e-05
2.5000e+02,2.3000e+03,9.6652e-16,6.8100e-01,4.7100e-04,5.7720e-05
2.5000e+02,2.3000e+03,3.9413e-16,1.6700e+00,2.5020e-04,4.3180e-05
2.5000e+02,2.3000e+03,1.6132e-16,4.0800e+00,8.6370e-05,1.9000e-05
5.0000e+01,7.5000e+02,6.5820e-17,1.0000e+01,8.0780e-04,5.7600e-05
2.5000e+02,2.3000e+03,6.5820e-17,1.0000e+01,4.6370e-05,1.7730e-05
2.5000e+02,2.5000e+03,2.0829e-13,3.1600e-03,7.4510e-05,2.1440e-05
2.5000e+02,2.5000e+03,8.5039e-14,7.7400e-03,3.4390e-04,5.1130e-05
2.5000e+02,2.5000e+03,3.4642e-14,1.9000e-02,6.1150e-04,7.4560e-05
2.5000e+02,2.5000e+03,1.4185e-14,4.6400e-02,6.0810e-04,7.3390e-05
