 C_Mass(GeV)   N_Mass(GeV)     tau(ns)    Init_xs(fb)      EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   199.716     199.544         0.300      2375.201      6.1000e-02      6.9600e-02      4.2456e-03      2.9544e-03    7.017e+00     7.447e+01       2.53e+02    3.19e+01    2434285 
   199.716     199.544         0.400      2375.201      6.1000e-02      8.1191e-02      4.9526e-03      3.4155e-03    8.113e+00     6.441e+01       2.93e+02    3.69e+01    3014057 
   199.716     199.544         0.500      2375.201      6.1000e-02      8.7165e-02      5.3171e-03      3.6325e-03    8.628e+00     6.056e+01       3.11e+02    3.92e+01    3429593 
   199.716     199.544         0.600      2375.201      6.1000e-02      8.9702e-02      5.4718e-03      3.7046e-03    8.799e+00     5.939e+01       3.18e+02    4.00e+01    3732679 
   199.716     199.544         0.700      2375.201      6.1000e-02      9.0212e-02      5.5029e-03      3.6951e-03    8.777e+00     5.954e+01       3.17e+02    3.99e+01    3960727 
   199.716     199.544         0.800      2375.201      6.1000e-02      8.9624e-02      5.4671e-03      3.6432e-03    8.653e+00     6.039e+01       3.12e+02    3.93e+01    4136646 
   199.716     199.544         0.900      2375.201      6.1000e-02      8.8327e-02      5.3879e-03      3.5655e-03    8.469e+00     6.170e+01       3.06e+02    3.85e+01    4272904 
   199.716     199.544         1.000      2375.201      6.1000e-02      8.6425e-02      5.2719e-03      3.4685e-03    8.238e+00     6.343e+01       2.97e+02    3.74e+01    4381636 
   199.716     199.544         1.500      2375.201      6.1000e-02      7.5750e-02      4.6207e-03      2.9648e-03    7.042e+00     7.420e+01       2.54e+02    3.20e+01    4684597 
   199.716     199.544         2.000      2375.201      6.1000e-02      6.6102e-02      4.0322e-03      2.5463e-03    6.048e+00     8.640e+01       2.18e+02    2.75e+01    4817864 
   199.716     199.544         2.500      2375.201      6.1000e-02      5.8314e-02      3.5572e-03      2.2193e-03    5.271e+00     9.913e+01       1.90e+02    2.40e+01    4882581 
   199.716     199.544         3.000      2375.201      6.1000e-02      5.1953e-02      3.1691e-03      1.9623e-03    4.661e+00     1.121e+02       1.68e+02    2.12e+01    4920811 
   199.716     199.544         4.000      2375.201      6.1000e-02      4.2531e-02      2.5944e-03      1.5863e-03    3.768e+00     1.387e+02       1.36e+02    1.71e+01    4954299 
   199.716     199.544         5.000      2375.201      6.1000e-02      3.5993e-02      2.1956e-03      1.3320e-03    3.164e+00     1.652e+02       1.14e+02    1.44e+01    4968685 
   199.716     199.544         6.000      2375.201      6.1000e-02      3.1265e-02      1.9072e-03      1.1508e-03    2.733e+00     1.912e+02       9.87e+01    1.24e+01    4974939 
   199.716     199.544         7.000      2375.201      6.1000e-02      2.7558e-02      1.6810e-03      1.0105e-03    2.400e+00     2.177e+02       8.66e+01    1.09e+01    4977433 
   199.716     199.544         8.000      2375.201      6.1000e-02      2.4604e-02      1.5008e-03      8.9911e-04    2.136e+00     2.447e+02       7.71e+01    9.71e+00    4977473 
   199.716     199.544         9.000      2375.201      6.1000e-02      2.2248e-02      1.3571e-03      8.1106e-04    1.926e+00     2.712e+02       6.95e+01    8.75e+00    4976413 
