 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   200.000     199.843         2.500      710.687      1.5884e-01      5.8573e-02      9.3039e-03      2.2500e-03    1.599e+00     9.778e+01       5.77e+01    7.27e+00    7123828 
   200.000     199.843         3.000      710.687      1.5884e-01      5.2183e-02      8.2888e-03      1.9892e-03    1.414e+00     1.106e+02       5.10e+01    6.43e+00    7179503 
   200.000     199.843         4.000      710.687      1.5884e-01      4.2782e-02      6.7957e-03      1.6116e-03    1.145e+00     1.365e+02       4.13e+01    5.20e+00    7232734 
   200.000     199.843         5.000      710.687      1.5884e-01      3.6155e-02      5.7430e-03      1.3521e-03    9.609e-01     1.627e+02       3.47e+01    4.37e+00    7253657 
   200.000     199.843         6.000      710.687      1.5884e-01      3.1338e-02      4.9778e-03      1.1663e-03    8.289e-01     1.886e+02       2.99e+01    3.77e+00    7263420 
   200.000     199.843         7.000      710.687      1.5884e-01      2.7644e-02      4.3910e-03      1.0249e-03    7.284e-01     2.147e+02       2.63e+01    3.31e+00    7268101 
   200.000     199.843         8.000      710.687      1.5884e-01      2.4714e-02      3.9257e-03      9.1398e-04    6.496e-01     2.407e+02       2.34e+01    2.95e+00    7270061 
   200.000     199.843         9.000      710.687      1.5884e-01      2.2365e-02      3.5525e-03      8.2493e-04    5.863e-01     2.667e+02       2.12e+01    2.67e+00    7270686 
   200.000     199.843         10.000      710.687      1.5884e-01      2.0418e-02      3.2433e-03      7.5179e-04    5.343e-01     2.926e+02       1.93e+01    2.43e+00    7270610 
   300.000     299.843         0.010      145.796      1.4851e-01      1.0156e-07      1.5082e-08      6.9387e-09    1.012e-06     3.171e+07       3.65e-05    4.60e-06    22 
   300.000     299.843         0.015      145.796      1.4851e-01      4.0399e-06      5.9995e-07      2.6042e-07    3.797e-05     8.448e+05       1.37e-03    1.73e-04    327 
   300.000     299.843         0.020      145.796      1.4851e-01      2.2336e-05      3.3170e-06      1.4072e-06    2.052e-04     1.563e+05       7.41e-03    9.33e-04    1566 
   300.000     299.843         0.025      145.796      1.4851e-01      7.3726e-05      1.0949e-05      4.6040e-06    6.712e-04     4.778e+04       2.42e-02    3.05e-03    4569 
   300.000     299.843         0.030      145.796      1.4851e-01      1.9072e-04      2.8324e-05      1.1816e-05    1.723e-03     1.862e+04       6.22e-02    7.83e-03    10769 
   300.000     299.843         0.040      145.796      1.4851e-01      6.5636e-04      9.7474e-05      4.0211e-05    5.863e-03     5.471e+03       2.12e-01    2.67e-02    33433 
   300.000     299.843         0.050      145.796      1.4851e-01      1.5377e-03      2.2835e-04      9.3568e-05    1.364e-02     2.351e+03       4.92e-01    6.20e-02    72556 
   300.000     299.843         0.060      145.796      1.4851e-01      2.8434e-03      4.2226e-04      1.7188e-04    2.506e-02     1.280e+03       9.05e-01    1.14e-01    128410 
   300.000     299.843         0.070      145.796      1.4851e-01      4.5939e-03      6.8222e-04      2.7650e-04    4.031e-02     7.957e+02       1.46e+00    1.83e-01    199759 
   300.000     299.843         0.080      145.796      1.4851e-01      6.7026e-03      9.9538e-04      4.0251e-04    5.868e-02     5.466e+02       2.12e+00    2.67e-01    283489 
   300.000     299.843         0.090      145.796      1.4851e-01      9.0609e-03      1.3456e-03      5.4190e-04    7.901e-02     4.060e+02       2.85e+00    3.59e-01    375661 
   300.000     299.843         0.100      145.796      1.4851e-01      1.1725e-02      1.7413e-03      7.0038e-04    1.021e-01     3.141e+02       3.69e+00    4.64e-01    478775 
   300.000     299.843         0.150      145.796      1.4851e-01      2.6536e-02      3.9408e-03      1.5745e-03    2.296e-01     1.397e+02       8.29e+00    1.04e+00    1050331 
   300.000     299.843         0.200      145.796      1.4851e-01      4.1154e-02      6.1116e-03      2.4315e-03    3.545e-01     9.048e+01       1.28e+01    1.61e+00    1632267 
   300.000     299.843         0.250      145.796      1.4851e-01      5.3573e-02      7.9560e-03      3.1583e-03    4.605e-01     6.966e+01       1.66e+01    2.09e+00    2161778 
   300.000     299.843         0.300      145.796      1.4851e-01      6.3765e-02      9.4696e-03      3.7512e-03    5.469e-01     5.865e+01       1.97e+01    2.49e+00    2629996 
   300.000     299.843         0.400      145.796      1.4851e-01      7.7964e-02      1.1578e-02      4.5697e-03    6.662e-01     4.814e+01       2.41e+01    3.03e+00    3387148 
   300.000     299.843         0.500      145.796      1.4851e-01      8.6346e-02      1.2823e-02      5.0433e-03    7.353e-01     4.362e+01       2.65e+01    3.34e+00    3958617 
   300.000     299.843         0.600      145.796      1.4851e-01      9.0905e-02      1.3500e-02      5.2910e-03    7.714e-01     4.158e+01       2.78e+01    3.51e+00    4391313 
   300.000     299.843         0.700      145.796      1.4851e-01      9.3061e-02      1.3820e-02      5.3963e-03    7.868e-01     4.077e+01       2.84e+01    3.58e+00    4723021 
   300.000     299.843         0.800      145.796      1.4851e-01      9.3537e-02      1.3891e-02      5.4054e-03    7.881e-01     4.070e+01       2.84e+01    3.58e+00    4983388 
   300.000     299.843         0.900      145.796      1.4851e-01      9.3196e-02      1.3840e-02      5.3684e-03    7.827e-01     4.098e+01       2.83e+01    3.56e+00    5191375 
   300.000     299.843         1.000      145.796      1.4851e-01      9.2091e-02      1.3676e-02      5.2859e-03    7.707e-01     4.162e+01       2.78e+01    3.50e+00    5359048 
   300.000     299.843         1.500      145.796      1.4851e-01      8.3278e-02      1.2367e-02      4.7139e-03    6.873e-01     4.667e+01       2.48e+01    3.12e+00    5850356 
   300.000     299.843         2.000      145.796      1.4851e-01      7.3720e-02      1.0948e-02      4.1286e-03    6.019e-01     5.329e+01       2.17e+01    2.74e+00    6069004 
   300.000     299.843         2.500      145.796      1.4851e-01      6.5789e-02      9.7702e-03      3.6523e-03    5.325e-01     6.024e+01       1.92e+01    2.42e+00    6183312 
   300.000     299.843         3.000      145.796      1.4851e-01      5.9162e-02      8.7860e-03      3.2623e-03    4.756e-01     6.744e+01       1.72e+01    2.16e+00    6247327 
