 C_Mass(GeV)   N_Mass(GeV)    tau(ns)     Init_xs(fb)        EAxEE           TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   300.204     300.000         0.100      4357.424      1.7600e-01      4.5567e-02      8.0198e-03      3.9760e-03    1.733e+01     5.533e+01       6.25e+02    7.88e+01    884694 
   300.204     300.000         0.150      4357.424      1.7600e-01      6.8429e-02      1.2043e-02      5.9264e-03    2.582e+01     3.712e+01       9.32e+02    1.17e+02    1378936 
   300.204     300.000         0.200      4357.424      1.7600e-01      8.2188e-02      1.4465e-02      7.0843e-03    3.087e+01     3.105e+01       1.11e+03    1.40e+02    1746255 
   300.204     300.000         0.250      4357.424      1.7600e-01      9.0384e-02      1.5907e-02      7.7645e-03    3.383e+01     2.833e+01       1.22e+03    1.54e+02    2021987 
   300.204     300.000         0.300      4357.424      1.7600e-01      9.4439e-02      1.6621e-02      8.0880e-03    3.524e+01     2.720e+01       1.27e+03    1.60e+02    2227475 
   300.204     300.000         0.400      4357.424      1.7600e-01      9.6832e-02      1.7042e-02      8.2578e-03    3.598e+01     2.664e+01       1.30e+03    1.64e+02    2515654 
   300.204     300.000         0.500      4357.424      1.7600e-01      9.5116e-02      1.6740e-02      8.0841e-03    3.523e+01     2.721e+01       1.27e+03    1.60e+02    2695800 
   300.204     300.000         0.600      4357.424      1.7600e-01      9.1811e-02      1.6159e-02      7.7803e-03    3.390e+01     2.828e+01       1.22e+03    1.54e+02    2819771 
   300.204     300.000         0.700      4357.424      1.7600e-01      8.7957e-02      1.5480e-02      7.4311e-03    3.238e+01     2.961e+01       1.17e+03    1.47e+02    2905162 
   300.204     300.000         0.800      4357.424      1.7600e-01      8.3987e-02      1.4782e-02      7.0803e-03    3.085e+01     3.107e+01       1.11e+03    1.40e+02    2966585 
   300.204     300.000         0.900      4357.424      1.7600e-01      8.0078e-02      1.4094e-02      6.7364e-03    2.935e+01     3.266e+01       1.06e+03    1.33e+02    3013754 
   300.204     300.000         1.000      4357.424      1.7600e-01      7.6326e-02      1.3433e-02      6.4052e-03    2.791e+01     3.435e+01       1.01e+03    1.27e+02    3048425 
   300.204     300.000         1.500      4357.424      1.7600e-01      6.1392e-02      1.0805e-02      5.1089e-03    2.226e+01     4.306e+01       8.04e+02    1.01e+02    3137715 
   300.204     300.000         2.000      4357.424      1.7600e-01      5.0969e-02      8.9705e-03      4.2139e-03    1.836e+01     5.221e+01       6.63e+02    8.35e+01    3170122 
   300.204     300.000         2.500      4357.424      1.7600e-01      4.3517e-02      7.6589e-03      3.5821e-03    1.561e+01     6.142e+01       5.63e+02    7.10e+01    3182722 
   300.204     300.000         3.000      4357.424      1.7600e-01      3.7954e-02      6.6799e-03      3.1110e-03    1.356e+01     7.072e+01       4.89e+02    6.16e+01    3187812 
   300.204     300.000         4.000      4357.424      1.7600e-01      3.0252e-02      5.3243e-03      2.4652e-03    1.074e+01     8.924e+01       3.88e+02    4.88e+01    3191129 
   300.204     300.000         5.000      4357.424      1.7600e-01      2.5007e-02      4.4012e-03      2.0305e-03    8.848e+00     1.083e+02       3.19e+02    4.02e+01    3189611 
   300.204     300.000         6.000      4357.424      1.7600e-01      2.1378e-02      3.7625e-03      1.7311e-03    7.543e+00     1.271e+02       2.72e+02    3.43e+01    3188444 
   300.204     300.000         7.000      4357.424      1.7600e-01      1.8693e-02      3.2900e-03      1.5107e-03    6.583e+00     1.456e+02       2.38e+02    2.99e+01    3185959 
   300.204     300.000         8.000      4357.424      1.7600e-01      1.6636e-02      2.9280e-03      1.3414e-03    5.845e+00     1.640e+02       2.11e+02    2.66e+01    3184496 
   300.204     300.000         9.000      4357.424      1.7600e-01      1.4933e-02      2.6282e-03      1.2030e-03    5.242e+00     1.829e+02       1.89e+02    2.38e+01    3182331 
   300.204     300.000         10.000      4357.424      1.7600e-01      1.3550e-02      2.3848e-03      1.0905e-03    4.752e+00     2.017e+02       1.72e+02    2.16e+01    3181941 
   400.208     400.000         0.010      1066.096      2.3469e-01      6.7104e-06      1.5749e-06      6.9039e-07    7.360e-04     3.187e+05       2.66e-02    3.35e-03    455 
   400.208     400.000         0.015      1066.096      2.3469e-01      7.9814e-05      1.8732e-05      8.2079e-06    8.750e-03     2.680e+04       3.16e-01    3.98e-02    4141 
   400.208     400.000         0.020      1066.096      2.3469e-01      3.3736e-04      7.9175e-05      3.4192e-05    3.645e-02     6.434e+03       1.32e+00    1.66e-01    14929 
   400.208     400.000         0.025      1066.096      2.3469e-01      8.7490e-04      2.0533e-04      8.8186e-05    9.401e-02     2.495e+03       3.39e+00    4.27e-01    34876 
   400.208     400.000         0.030      1066.096      2.3469e-01      1.7638e-03      4.1395e-04      1.7656e-04    1.882e-01     1.246e+03       6.79e+00    8.55e-01    65500 
   400.208     400.000         0.040      1066.096      2.3469e-01      4.5903e-03      1.0773e-03      4.5596e-04    4.861e-01     4.825e+02       1.75e+01    2.21e+00    154859 
   400.208     400.000         0.050      1066.096      2.3469e-01      8.5839e-03      2.0146e-03      8.4897e-04    9.051e-01     2.591e+02       3.27e+01    4.11e+00    273702 
   400.208     400.000         0.060      1066.096      2.3469e-01      1.3336e-02      3.1299e-03      1.3135e-03    1.400e+00     1.675e+02       5.06e+01    6.36e+00    411363 
   400.208     400.000         0.070      1066.096      2.3469e-01      1.8629e-02      4.3722e-03      1.8282e-03    1.949e+00     1.203e+02       7.04e+01    8.86e+00    562391 
   400.208     400.000         0.080      1066.096      2.3469e-01      2.4019e-02      5.6371e-03      2.3504e-03    2.506e+00     9.360e+01       9.05e+01    1.14e+01    717328 
   400.208     400.000         0.090      1066.096      2.3469e-01      2.9535e-02      6.9317e-03      2.8826e-03    3.073e+00     7.632e+01       1.11e+02    1.40e+01    875652 
   400.208     400.000         0.100      1066.096      2.3469e-01      3.4828e-02      8.1739e-03      3.3926e-03    3.617e+00     6.485e+01       1.31e+02    1.64e+01    1028792 
   400.208     400.000         0.150      1066.096      2.3469e-01      5.7833e-02      1.3573e-02      5.5896e-03    5.959e+00     3.936e+01       2.15e+02    2.71e+01    1735272 
   400.208     400.000         0.200      1066.096      2.3469e-01      7.3929e-02      1.7350e-02      7.1112e-03    7.581e+00     3.094e+01       2.74e+02    3.45e+01    2299067 
   400.208     400.000         0.250      1066.096      2.3469e-01      8.4359e-02      1.9798e-02      8.0896e-03    8.624e+00     2.720e+01       3.11e+02    3.92e+01    2737970 
   400.208     400.000         0.300      1066.096      2.3469e-01      9.0995e-02      2.1356e-02      8.7010e-03    9.276e+00     2.528e+01       3.35e+02    4.22e+01    3083625 
   400.208     400.000         0.400      1066.096      2.3469e-01      9.7012e-02      2.2768e-02      9.2414e-03    9.852e+00     2.381e+01       3.56e+02    4.48e+01    3574542 
   400.208     400.000         0.500      1066.096      2.3469e-01      9.7734e-02      2.2937e-02      9.2826e-03    9.896e+00     2.370e+01       3.57e+02    4.50e+01    3895843 
   400.208     400.000         0.600      1066.096      2.3469e-01      9.5955e-02      2.2520e-02      9.0902e-03    9.691e+00     2.420e+01       3.50e+02    4.41e+01    4116486 
   400.208     400.000         0.700      1066.096      2.3469e-01      9.3115e-02      2.1853e-02      8.8041e-03    9.386e+00     2.499e+01       3.39e+02    4.27e+01    4274396 
   400.208     400.000         0.800      1066.096      2.3469e-01      8.9882e-02      2.1095e-02      8.4833e-03    9.044e+00     2.593e+01       3.26e+02    4.11e+01    4392247 
   400.208     400.000         0.900      1066.096      2.3469e-01      8.6338e-02      2.0263e-02      8.1359e-03    8.674e+00     2.704e+01       3.13e+02    3.94e+01    4477664 
   400.208     400.000         1.000      1066.096      2.3469e-01      8.2938e-02      1.9465e-02      7.8033e-03    8.319e+00     2.819e+01       3.00e+02    3.78e+01    4546402 
   400.208     400.000         1.500      1066.096      2.3469e-01      6.8066e-02      1.5974e-02      6.3659e-03    6.787e+00     3.456e+01       2.45e+02    3.08e+01    4720557 
   400.208     400.000         2.000      1066.096      2.3469e-01      5.7141e-02      1.3410e-02      5.3209e-03    5.673e+00     4.135e+01       2.05e+02    2.58e+01    4781250 
   400.208     400.000         2.500      1066.096      2.3469e-01      4.9051e-02      1.1512e-02      4.5529e-03    4.854e+00     4.832e+01       1.75e+02    2.21e+01    4808230 
   400.208     400.000         3.000      1066.096      2.3469e-01      4.3014e-02      1.0095e-02      3.9803e-03    4.243e+00     5.527e+01       1.53e+02    1.93e+01    4819124 
   400.208     400.000         4.000      1066.096      2.3469e-01      3.4420e-02      8.0781e-03      3.1721e-03    3.382e+00     6.935e+01       1.22e+02    1.54e+01    4823211 
   400.208     400.000         5.000      1066.096      2.3469e-01      2.8677e-02      6.7303e-03      2.6345e-03    2.809e+00     8.351e+01       1.01e+02    1.28e+01    4821902 
   400.208     400.000         6.000      1066.096      2.3469e-01      2.4618e-02      5.7777e-03      2.2573e-03    2.406e+00     9.746e+01       8.69e+01    1.09e+01    4816946 
   400.208     400.000         7.000      1066.096      2.3469e-01      2.1527e-02      5.0522e-03      1.9704e-03    2.101e+00     1.117e+02       7.58e+01    9.55e+00    4812367 
   400.208     400.000         8.000      1066.096      2.3469e-01      1.9096e-02      4.4816e-03      1.7453e-03    1.861e+00     1.261e+02       6.72e+01    8.46e+00    4808309 
   400.208     400.000         9.000      1066.096      2.3469e-01      1.7258e-02      4.0503e-03      1.5752e-03    1.679e+00     1.397e+02       6.06e+01    7.63e+00    4805128 
   400.208     400.000         10.000      1066.096      2.3469e-01      1.5598e-02      3.6606e-03      1.4222e-03    1.516e+00     1.547e+02       5.47e+01    6.89e+00    4801029 
   500.211     500.000         0.010      335.811      2.9847e-01      1.2611e-06      3.7640e-07      1.5327e-07    5.147e-05     1.435e+06       1.86e-03    2.34e-04    153 
   500.211     500.000         0.015      335.811      2.9847e-01      2.5014e-05      7.4658e-06      2.7827e-06    9.344e-04     7.906e+04       3.37e-02    4.25e-03    1980 
   500.211     500.000         0.020      335.811      2.9847e-01      1.2592e-04      3.7582e-05      1.4169e-05    4.758e-03     1.553e+04       1.72e-01    2.16e-02    8853 
   500.211     500.000         0.025      335.811      2.9847e-01      3.8904e-04      1.1612e-04      4.3249e-05    1.452e-02     5.087e+03       5.24e-01    6.60e-02    23767 
   500.211     500.000         0.030      335.811      2.9847e-01      8.6069e-04      2.5689e-04      9.4652e-05    3.179e-02     2.324e+03       1.15e+00    1.44e-01    48322 
   500.211     500.000         0.040      335.811      2.9847e-01      2.6324e-03      7.8570e-04      2.8637e-04    9.616e-02     7.682e+02       3.47e+00    4.37e-01    130308 
   500.211     500.000         0.050      335.811      2.9847e-01      5.4145e-03      1.6161e-03      5.8264e-04    1.957e-01     3.776e+02       7.06e+00    8.90e-01    248977 
   500.211     500.000         0.060      335.811      2.9847e-01      9.0382e-03      2.6976e-03      9.6805e-04    3.251e-01     2.273e+02       1.17e+01    1.48e+00    396259 
   500.211     500.000         0.070      335.811      2.9847e-01      1.3246e-02      3.9537e-03      1.4121e-03    4.742e-01     1.558e+02       1.71e+01    2.16e+00    562217 
   500.211     500.000         0.080      335.811      2.9847e-01      1.7900e-02      5.3427e-03      1.9010e-03    6.384e-01     1.157e+02       2.30e+01    2.90e+00    743533 
   500.211     500.000         0.090      335.811      2.9847e-01      2.2713e-02      6.7792e-03      2.4046e-03    8.075e-01     9.149e+01       2.92e+01    3.67e+00    929416 
   500.211     500.000         0.100      335.811      2.9847e-01      2.7564e-02      8.2270e-03      2.9111e-03    9.776e-01     7.557e+01       3.53e+01    4.44e+00    1117877 
   500.211     500.000         0.150      335.811      2.9847e-01      5.0146e-02      1.4967e-02      5.2546e-03    1.765e+00     4.187e+01       6.37e+01    8.02e+00    2022617 
   500.211     500.000         0.200      335.811      2.9847e-01      6.7467e-02      2.0137e-02      7.0431e-03    2.365e+00     3.124e+01       8.54e+01    1.08e+01    2788042 
   500.211     500.000         0.250      335.811      2.9847e-01      7.9667e-02      2.3778e-02      8.2912e-03    2.784e+00     2.653e+01       1.01e+02    1.27e+01    3406995 
   500.211     500.000         0.300      335.811      2.9847e-01      8.7906e-02      2.6237e-02      9.1277e-03    3.065e+00     2.410e+01       1.11e+02    1.39e+01    3903727 
   500.211     500.000         0.400      335.811      2.9847e-01      9.6777e-02      2.8885e-02      1.0018e-02    3.364e+00     2.196e+01       1.21e+02    1.53e+01    4638829 
   500.211     500.000         0.500      335.811      2.9847e-01      9.9469e-02      2.9688e-02      1.0268e-02    3.448e+00     2.143e+01       1.24e+02    1.57e+01    5134671 
   500.211     500.000         0.600      335.811      2.9847e-01      9.9221e-02      2.9614e-02      1.0222e-02    3.433e+00     2.152e+01       1.24e+02    1.56e+01    5485497 
   500.211     500.000         0.700      335.811      2.9847e-01      9.7418e-02      2.9076e-02      1.0019e-02    3.365e+00     2.196e+01       1.21e+02    1.53e+01    5744394 
   500.211     500.000         0.800      335.811      2.9847e-01      9.4772e-02      2.8287e-02      9.7335e-03    3.269e+00     2.260e+01       1.18e+02    1.49e+01    5937103 
   500.211     500.000         0.900      335.811      2.9847e-01      9.1851e-02      2.7415e-02      9.4189e-03    3.163e+00     2.336e+01       1.14e+02    1.44e+01    6085435 
   500.211     500.000         1.000      335.811      2.9847e-01      8.8829e-02      2.6513e-02      9.0975e-03    3.055e+00     2.418e+01       1.10e+02    1.39e+01    6203267 
   500.211     500.000         1.500      335.811      2.9847e-01      7.4302e-02      2.2177e-02      7.5729e-03    2.543e+00     2.905e+01       9.18e+01    1.16e+01    6522947 
   500.211     500.000         2.000      335.811      2.9847e-01      6.3099e-02      1.8833e-02      6.4089e-03    2.152e+00     3.433e+01       7.77e+01    9.78e+00    6651234 
   500.211     500.000         2.500      335.811      2.9847e-01      5.4592e-02      1.6294e-02      5.5289e-03    1.857e+00     3.979e+01       6.70e+01    8.44e+00    6713722 
   500.211     500.000         3.000      335.811      2.9847e-01      4.8058e-02      1.4344e-02      4.8555e-03    1.631e+00     4.531e+01       5.89e+01    7.41e+00    6743291 
   500.211     500.000         4.000      335.811      2.9847e-01      3.8735e-02      1.1561e-02      3.8999e-03    1.310e+00     5.641e+01       4.73e+01    5.95e+00    6772045 
   500.211     500.000         5.000      335.811      2.9847e-01      3.2481e-02      9.6947e-03      3.2618e-03    1.095e+00     6.745e+01       3.95e+01    4.98e+00    6779553 
   500.211     500.000         6.000      335.811      2.9847e-01      2.7907e-02      8.3293e-03      2.7973e-03    9.394e-01     7.865e+01       3.39e+01    4.27e+00    6781172 
