Barrel_sigma1,Y,Barrel_sigma2,Y,Transition_sigma1,Y,Transition_sigma2,Y,Endcap_sigma1,Y,Endcap_sigma2,Y
2.72133876837531,37.750532053244,2.72133876837531,69.0495478631069,2.72133876837531,43.2876128108306,2.72133876837531,77.2879677907016,2.74413704762983,64.2232542222936,2.72133876837531,123.284673944207
3.32459793227094,35.1119173421513,3.32459793227094,61.689292607757,3.3524500736323,39.939130097672,3.32459793227094,71.8858407818592,3.32459793227094,54.2332629088886,3.32459793227094,102.444703655204
4.06158598837698,32.3958597771421,4.06158598837698,59.7342996521653,4.06158598837698,35.3957442891433,4.06158598837698,66.8613013465276,4.06158598837698,46.9168311447426,4.06158598837698,92.2645706341173
4.96194760300291,28.480358684358,4.96194760300291,52.5145586984224,4.96194760300291,31.1176644234614,4.96194760300291,56.460959169178,5.04543424678235,42.5961776256052,4.96194760300291,82.42973735992
6.06189899349757,25.8575523486906,6.06189899349757,44.7043361775117,6.06189899349757,28.025440503301,6.06189899349757,49.2388263170674,6.06189899349757,38.0556882244545,6.06189899349757,69.0495478631069
7.40568469226244,23.8573596510115,7.40568469226244,39.939130097672,7.40568469226244,23.2880361793107,7.40568469226244,41.9157867688683,7.40568469226244,32.9217200433478,7.46772653345004,61.1946262591721
8.9721918357583,20.9738579187813,9.0473572423493,35.6818655493467,9.0473572423493,22.0118904466429,9.0473572423493,39.3011803928106,9.12315235441823,27.8007136222619,9.0473572423493,55.1135950953673
10.9611235365998,18.8896441335846,11.0529514112602,32.9217200433478,11.0529514112602,21.4866065899589,11.0529514112602,37.4478228299976,11.0529514112602,25.4445283832476,11.0529514112602,52.5145586984224
13.5031403786987,16.4733989710987,13.5031403786987,28.9426612471675,13.5031403786987,18.1443434831211,13.5031403786987,33.4561162465984,13.5031403786987,23.8573596510115,13.5031403786987,44.7043361775117
16.4964807409802,15.1991108295293,16.4964807409802,25.8575523486906,16.4964807409802,15.4458278026823,16.4964807409802,27.3566514454722,16.4964807409802,21.6602934293935,16.4964807409802,39.939130097672
20.1533768594174,14.4823540623689,20.1533768594174,22.3691947024827,20.1533768594174,14.0233943470689,20.3222137271025,25.4445283832476,20.1533768594174,19.6655589013403,20.1533768594174,35.6818655493467
24.6209240149463,13.148648598504,24.6209240149463,21.6602934293935,24.8271881918728,12.834873965528,24.6209240149463,22.7322988386894,24.6209240149463,17.5693318045323,24.6209240149463,32.3958597771421
30.078825180431,13.148648598504,30.078825180431,21.6602934293935,29.8289304251002,13.4700940914015,30.078825180431,22.0118904466429,29.8289304251002,16.3413041492367,30.078825180431,29.6502235445903
36.7466194073669,11.5594471292347,36.7466194073669,20.3091762090474,36.7466194073669,12.3284673944207,36.7466194073669,22.0118904466429,36.7466194073669,15.6965495670054,36.7466194073669,28.9426612471675
44.8925125821861,11.8420413557245,44.8925125821861,20.3091762090474,44.8925125821861,10.8383965061257,44.8925125821861,18.7381742286039,44.892512582186,15.0772341093085,44.8925125821861,28.9426612471675
54.8441657612103,11.1033631816764,54.8441657612102,19.0423384445206,54.8441657612102,10.1623232937243,54.8441657612102,16.7408006090811,54.8441657612102,14.4823540623689,54.3885206586503,27.8007136222619
67.0018750350958,11.193117143059,65.8931970898472,18.4388684427856,67.0018750350958,10.1623232937243,67.0018750350958,16.7408006090811,67.0018750350958,14.4823540623689,67.0018750350958,28.025440503301
81.8546730706902,11.0143289280821,81.8546730706902,18.5879189114656,81.8546730706902,10.1623232937243,81.8546730706902,16.7408006090811,81.1746247849948,13.6887450953708,81.174624784995,25.6502090568005
100,10.4949173070025,100,18.4388684427856,100,10.1623232937243,100,16.2102685527352,98.3453031058191,12.9386245826522,100,25.0381016700784
122.167734899679,11.0143289280821,122.167734899679,18.4388684427856,122.167734899679,8.93406177402612,122.167734899679,16.2102685527352,123.191206937965,13.6887450953708,120.146229184603,28.025440503301
146.779926762207,11.0143289280821,149.249554505183,17.854522985237,149.249554505183,9.52842190888699,149.249554505183,16.2102685527352,149.249554505183,13.5789795061284,149.249554505183,28.025440503301
